CustomerId,Age,Gender,isCustomerSuspended,CallDropRate,NumberOfComplaints,MonthlyBilledAmount - Rs,UnpaidBalance - Rs,NumberOfMonthUnpaid,TotalMinsUsedInLastMonth,TotalCallDuration,AvgCallDuration,PercentageCallOutsideNetwork,isChurned
1268,46,Male,Yes,0.05,2,3720,3030,5,4,6748,674,0.93,No
1269,62,Male,Yes,0.07,1,360,6330,2,7,4273,534,0.14,No
1270,24,Female,Yes,0.05,2,2070,6780,0,204,5951,850,0.6,Yes
1271,40,Male,Yes,0.07,1,2310,2580,5,207,4706,941,0.81,No
1272,70,Female,Yes,0.06,2,450,3030,3,404,4834,537,0.27,No
1273,18,Female,Yes,0,0,660,6330,1,408,1024,341,0.48,No
1274,49,Male,Yes,0.06,2,2400,6780,6,105,3586,717,0.93,No
1275,64,Male,Yes,0,0,2640,2550,4,108,590,295,0.14,No
1276,27,Female,Yes,0.06,1,780,3000,1,305,7633,1090,0.6,No
1277,43,Male,Yes,0,0,990,6300,7,308,1310,1310,0.81,No
1278,73,Female,Yes,0.06,1,2730,6750,4,5,2343,781,0.27,No
1279,21,Female,Yes,0,0,2940,2550,2,9,2937,587,0.48,No
1280,51,Male,Yes,0.07,1,1080,3000,7,206,3969,661,0.93,No
1281,67,Female,Yes,0.01,3,1320,6300,5,209,609,609,0.15,No
1282,30,Male,Yes,0.07,1,3060,6750,2,406,4963,992,0.6,No
1283,46,Male,Yes,0.01,3,3270,2550,0,409,6025,860,0.81,No
1284,76,Female,Yes,0.07,0,1410,3000,6,106,5039,419,0.27,No
1285,24,Female,Yes,0.01,3,1650,6300,3,109,7556,1079,0.48,No
1286,54,Male,Yes,0.07,0,3390,6750,1,306,3937,984,0.94,No
1287,70,Female,Yes,0.01,2,3600,2550,6,310,3834,766,0.15,No
1288,32,Male,Yes,0,0,1740,3000,4,7,5027,628,0.6,No
1289,48,Male,Yes,0.02,2,1950,6300,1,10,6378,911,0.81,No
1290,79,Female,Yes,0,3,3690,6750,7,207,1644,328,0.27,No
1291,27,Female,Yes,0.02,2,330,2550,4,210,5342,890,0.48,No
1292,57,Male,Yes,0,3,2070,3000,2,407,3149,524,0.94,No
1293,73,Female,Yes,0.02,2,2280,6300,7,411,4025,1006,0.15,No
1294,35,Male,Yes,0,3,420,6750,5,108,4655,775,0.6,No
1295,51,Male,Yes,0.02,1,660,2550,2,111,2194,731,0.82,No
1296,14,Female,Yes,0.01,3,2370,3000,0,308,6560,656,0.27,No
1297,29,Female,Yes,0.03,1,2610,6300,5,311,4029,805,0.48,No
1298,60,Male,Yes,0.01,2,750,6750,3,8,3128,521,0.94,No
1299,76,Female,Yes,0.03,1,960,2550,0,12,3917,979,0.15,No
1300,38,Male,Yes,0.01,2,2700,3000,6,209,2981,596,0.61,No
1301,54,Male,Yes,0.03,1,2940,6300,4,212,7304,811,0.82,No
1302,16,Female,Yes,0.01,2,1080,6750,1,409,5441,906,0.27,Yes
1303,32,Female,Yes,0.03,0,1290,2550,7,412,2341,1170,0.48,No
1304,63,Male,Yes,0.02,2,3030,3000,4,109,2807,561,0.94,No
1305,78,Female,Yes,0.04,0,3240,6300,2,113,1620,540,0.15,No
1306,41,Male,Yes,0.02,1,1380,6750,7,309,6276,896,0.61,No
1307,57,Male,Yes,0.04,0,1620,2550,5,313,4664,932,0.82,No
1308,19,Female,Yes,0.02,1,3360,3000,2,10,6603,943,0.27,No
1309,35,Male,Yes,0.04,3,3570,6300,0,13,4072,678,0.48,Yes
1310,65,Male,Yes,0.02,1,1710,6750,5,210,2769,553,0.94,No
1311,13,Female,Yes,0.05,3,1950,2550,3,213,1935,967,0.15,No
1312,44,Male,Yes,0.03,0,3690,3000,1,410,5306,758,0.61,No
1313,60,Male,Yes,0.05,3,300,6300,6,414,2407,802,0.82,No
1314,22,Female,Yes,0.03,0,2040,6750,4,111,2075,691,0.28,Yes
1315,38,Male,Yes,0.05,3,2250,2550,1,114,3646,911,0.49,No
1316,68,Female,Yes,0.03,0,390,3000,7,311,4397,732,0.94,No
1317,16,Female,No,0.05,2,630,6300,4,314,6873,763,0.15,No
1318,46,Male,Yes,0.03,0,2370,6750,2,11,3197,639,0.61,No
1319,62,Male,Yes,0.06,2,2580,2550,7,15,7606,845,0.82,No
1320,25,Female,Yes,0.04,3,720,3000,5,212,7121,890,0.28,No
1321,41,Male,Yes,0.06,2,960,6300,2,215,2931,732,0.49,No
1322,71,Female,Yes,0.04,3,2670,6750,0,412,4932,822,0.94,No
1323,19,Female,Yes,0.06,2,2910,2550,5,415,2923,584,0.15,No
1324,49,Male,Yes,0.04,3,1050,3000,3,112,4107,684,0.61,No
1325,65,Male,Yes,0.06,1,1260,6300,0,116,7499,1071,0.82,No
1326,27,Female,Yes,0.05,3,3000,6750,6,313,6125,680,0.28,No
1327,43,Male,Yes,0.07,1,3240,2550,3,316,4459,891,0.49,No
1328,74,Female,Yes,0.05,2,1380,3000,1,13,4788,798,0.94,No
1329,22,Female,Yes,0.07,1,1590,6300,7,16,2720,906,0.16,No
1330,52,Male,Yes,0.05,2,3330,6750,4,213,6151,768,0.61,No
1331,68,Male,Yes,0.07,0,3570,2550,2,216,1301,433,0.82,No
1332,30,Female,Yes,0.05,2,1680,3000,7,413,1773,443,0.28,No
1333,46,Male,Yes,0.07,0,1920,6300,5,417,2163,540,0.49,No
1334,77,Female,Yes,0.06,1,3660,6750,2,114,3219,643,0.95,Yes
1335,24,Female,Yes,0,0,3870,2550,0,117,3292,1097,0.16,No
1336,55,Male,Yes,0.06,1,2010,3000,5,314,3925,981,0.61,No
1337,71,Male,Yes,0,0,2250,6300,3,317,2748,549,0.82,No
1338,33,Female,Yes,0.06,1,390,6750,0,14,622,311,0.28,No
1339,49,Male,Yes,0,3,600,2550,6,18,2244,561,0.49,No
1340,79,Female,Yes,0.06,1,2340,3000,4,215,3477,869,0.95,No
1341,27,Female,Yes,0,3,2550,6300,1,218,735,367,0.16,No
1342,58,Male,Yes,0.07,0,690,6750,7,415,3277,1092,0.61,Yes
1343,73,Female,Yes,0.01,3,930,2550,4,418,3526,587,0.83,No
1344,36,Male,Yes,0.07,0,2670,3000,2,115,752,376,0.28,No
1345,52,Male,Yes,0.01,3,2880,6300,7,119,3520,704,0.49,Yes
1346,14,Female,Yes,0.07,0,1020,6750,5,316,3539,589,0.95,No
1347,30,Female,Yes,0.01,2,1260,2550,2,319,2733,911,0.16,No
1348,60,Male,Yes,0.07,3,3000,3000,0,16,3809,952,0.62,No
1349,76,Female,Yes,0.01,2,3210,6300,5,19,5779,825,0.83,No
1350,39,Male,Yes,0,3,1350,6750,3,216,3556,1185,0.28,Yes
1351,55,Male,Yes,0.02,2,1560,2550,0,220,5172,738,0.49,No
1352,17,Female,Yes,0,3,3300,3000,6,416,947,473,0.95,Yes
1353,33,Female,Yes,0.02,1,3540,6300,3,420,2114,528,0.16,Yes
1354,63,Male,Yes,0,3,1680,6750,1,117,3464,692,0.62,No
1355,79,Female,Yes,0.02,1,1890,2550,6,120,4631,926,0.83,No
1356,41,Male,Yes,0,2,3630,3000,4,317,2257,564,0.28,No
1357,57,Male,Yes,0.02,1,3870,6300,2,320,4087,817,0.49,No
1358,20,Female,Yes,0.01,2,1980,6750,7,17,2702,675,0.95,No
1359,36,Female,Yes,0.03,1,2220,2550,5,21,1006,1006,0.16,Yes
1360,66,Male,Yes,0.01,2,360,3000,2,218,6218,888,0.62,No
1361,14,Female,Yes,0.03,0,570,6300,0,221,4768,794,0.83,No
1362,44,Male,Yes,0.01,2,2310,6750,5,418,2036,509,0.29,No
1363,60,Male,No,0.03,0,2550,2550,3,421,2384,596,0.5,No
1364,23,Female,Yes,0.01,1,690,3000,0,118,2941,588,0.95,No
1365,38,Female,Yes,0.03,0,900,6300,6,122,4094,818,0.16,No
1366,69,Male,Yes,0.02,1,2640,6750,3,319,3516,502,0.62,No
1367,17,Female,Yes,0.04,0,2850,2550,1,322,2794,698,0.83,No
1368,47,Male,Yes,0.02,1,990,3000,7,19,5467,911,0.29,No
1369,63,Male,Yes,0.04,3,1230,6300,4,22,1173,586,0.5,No
1370,25,Female,Yes,0.02,0,2970,6750,2,219,1636,409,0.95,No
1371,41,Male,Yes,0.04,3,3180,2520,7,223,7158,715,0.16,Yes
1372,72,Male,Yes,0.02,0,1320,2970,5,420,5735,716,0.62,No
1373,19,Female,Yes,0.04,3,1560,6270,2,423,6255,625,0.83,No
1374,50,Male,Yes,0.03,0,3300,6720,0,120,4606,658,0.29,No
1375,66,Male,Yes,0.05,2,3510,2520,5,123,4902,544,0.5,No
1376,28,Female,Yes,0.03,0,1650,2970,3,320,3844,768,0.95,No
1377,44,Male,Yes,0.05,2,1860,6270,0,323,5766,823,0.17,No
1378,74,Female,Yes,0.03,3,3600,6720,6,20,1942,647,0.62,No
1379,22,Female,Yes,0.05,2,3840,2520,3,24,1039,346,0.83,No
1380,53,Male,Yes,0.03,3,1980,2970,1,221,2715,905,0.29,No
1381,69,Male,Yes,0.05,2,2190,6270,6,224,619,154,0.5,No
1382,31,Female,Yes,0.04,3,330,6720,4,421,1261,630,0.96,Yes
1383,47,Male,Yes,0.06,1,570,2520,1,424,4971,828,0.17,No
1384,77,Female,Yes,0.04,3,2280,2970,7,121,4667,1166,0.62,No
1385,25,Female,Yes,0.06,1,2520,6270,5,125,3185,530,0.83,No
1386,55,Male,Yes,0.04,2,660,6720,2,322,4286,857,0.29,No
1387,71,Male,Yes,0.06,1,870,2520,0,325,1999,666,0.5,No
1388,34,Female,Yes,0.04,2,2610,2970,5,22,5565,795,0.96,No
1389,50,Male,Yes,0.06,0,2850,6270,3,25,5209,744,0.17,No
1390,12,Female,Yes,0.05,2,990,6720,0,222,4934,822,0.62,No
1391,28,Female,Yes,0.07,0,1200,2520,6,226,5275,879,0.84,No
1392,58,Male,Yes,0.05,1,2940,2970,3,423,3477,579,0.29,No
1393,74,Male,Yes,0.07,0,3150,6270,1,426,692,173,0.5,No
1394,36,Female,Yes,0.05,1,1290,6720,6,123,6645,738,0.96,No
1395,52,Male,Yes,0.07,0,1530,2520,4,126,3133,783,0.17,No
1396,15,Female,Yes,0.05,1,3270,2970,2,323,4733,1183,0.63,No
1397,31,Female,Yes,0.07,3,3480,6270,7,327,3197,532,0.84,No
1398,61,Male,Yes,0.06,1,1620,6720,5,24,9273,927,0.29,No
1399,77,Male,Yes,0,3,1860,2520,2,27,1066,355,0.5,No
1400,39,Female,Yes,0.06,0,3600,2970,0,224,6843,855,0.96,No
1401,55,Male,Yes,0,3,3810,6270,5,227,4846,692,0.17,No
1402,18,Female,Yes,0.06,0,1950,6720,3,424,3610,902,0.63,No
1403,33,Female,Yes,0,3,2160,2520,0,427,4390,731,0.84,No
1404,64,Male,Yes,0.06,0,300,2970,6,124,3988,997,0.29,No
1405,12,Female,Yes,0.01,2,540,6270,3,128,6559,655,0.5,No
1406,42,Male,Yes,0.07,0,2280,6720,1,325,6739,748,0.96,No
1407,58,Male,Yes,0.01,2,2490,2520,6,328,1281,427,0.17,No
1408,20,Female,Yes,0.07,3,630,2970,4,25,3724,744,0.63,No
1409,36,Female,No,0.01,2,870,6270,1,28,1581,395,0.84,No
1410,67,Male,Yes,0.07,3,2580,6720,7,225,5570,795,0.3,No
1411,14,Female,Yes,0.01,1,2820,2520,4,229,5218,652,0.51,No
1412,45,Male,Yes,0.07,3,960,2970,2,426,1089,544,0.96,No
1413,61,Male,Yes,0.02,1,1170,6270,7,429,3399,679,0.17,No
1414,23,Female,Yes,0,2,2910,6720,5,126,4693,938,0.63,Yes
1415,39,Female,Yes,0.02,1,3150,2520,3,129,5176,647,0.84,Yes
1416,69,Male,Yes,0,2,1290,2970,0,326,3065,437,0.3,No
1417,17,Female,Yes,0.02,1,1500,6270,6,330,3442,860,0.51,No
1418,48,Male,Yes,0,2,3240,6720,3,27,5106,851,0.96,No
1419,64,Male,Yes,0.02,0,3450,2520,1,30,2323,464,0.17,No
1420,26,Female,Yes,0.01,2,1590,2970,6,227,6337,704,0.63,No
1421,42,Female,Yes,0.03,0,1830,6270,4,230,2171,361,0.84,No
1422,72,Male,Yes,0.01,1,3570,6720,1,427,1133,1133,0.3,No
1423,20,Female,Yes,0.03,0,3780,2520,7,431,2486,621,0.51,No
1424,50,Male,Yes,0.01,1,1920,2970,4,127,1097,219,0.96,No
1425,66,Male,Yes,0.03,0,2160,6270,2,131,787,393,0.18,No
1426,29,Female,Yes,0.01,1,300,6720,0,328,4863,810,0.63,No
1427,45,Female,Yes,0.03,3,510,2520,5,331,386,386,0.84,No
1428,75,Male,Yes,0.02,1,2250,2970,3,28,4072,581,0.3,No
1429,23,Female,Yes,0.04,3,2460,6270,0,31,2572,514,0.51,No
1430,53,Male,Yes,0.02,0,600,6720,6,228,8438,843,0.97,No
1431,69,Male,Yes,0.04,3,840,2520,3,232,4533,566,0.18,No
1432,32,Female,Yes,0.02,0,2580,2970,1,429,4191,598,0.63,No
1433,47,Female,Yes,0.04,2,2790,6270,6,432,3046,507,0.84,No
1434,78,Male,Yes,0.02,0,930,6720,4,129,277,277,0.3,Yes
1435,26,Female,Yes,0.04,2,1170,2520,1,132,5294,756,0.51,Yes
1436,56,Male,Yes,0.03,3,2880,2970,7,329,2788,697,0.97,No
1437,72,Male,Yes,0.05,2,3120,6270,4,333,4771,681,0.18,No
1438,34,Female,Yes,0.03,3,1260,6720,2,30,8091,735,0.63,No
1439,50,Male,Yes,0.05,2,1470,2520,7,33,1602,534,0.85,No
1440,13,Female,Yes,0.03,3,3210,2970,5,230,9451,1050,0.3,No
1441,28,Female,Yes,0.05,1,3450,6270,2,233,5296,756,0.51,No
1442,59,Male,Yes,0.03,3,1590,6720,0,430,1920,960,0.97,No
1443,75,Male,Yes,0.05,1,1800,2520,6,434,4733,946,0.18,No
1444,37,Female,Yes,0.04,2,3540,2970,3,131,3056,1018,0.64,No
1445,53,Male,Yes,0.06,1,3780,6270,1,134,6263,894,0.85,No
1446,15,Female,Yes,0.04,2,1890,6720,6,331,2916,972,0.3,No
1447,31,Female,Yes,0.06,1,2130,2520,4,334,4029,1007,0.51,No
1448,62,Male,Yes,0.04,2,3870,2970,1,31,1601,533,0.97,No
1449,78,Male,Yes,0.06,0,480,6270,7,34,1495,373,0.18,No
1450,40,Female,Yes,0.04,2,2220,6720,4,231,1046,1046,0.64,No
1451,56,Male,Yes,0.06,0,2460,2520,2,235,3782,540,0.85,No
1452,18,Female,Yes,0.05,1,600,2970,7,432,1860,620,0.3,No
1453,34,Female,Yes,0.07,0,810,6270,5,435,5063,723,0.51,No
1454,64,Male,Yes,0.05,1,2550,6720,3,132,3481,696,0.97,No
1455,12,Male,No,0.07,3,2760,2520,0,135,2696,449,0.18,Yes
1456,43,Female,Yes,0.05,1,900,2970,6,332,6453,806,0.64,No
1457,59,Male,Yes,0.07,3,1140,6270,3,336,1165,1165,0.85,No
1458,21,Female,Yes,0.05,0,2880,6720,1,33,1305,435,0.31,Yes
1459,37,Female,Yes,0.07,3,3090,2520,6,36,2941,735,0.52,No
1460,67,Male,Yes,0.06,0,1230,2970,4,233,5061,1012,0.97,No
1461,15,Male,Yes,0,3,1470,6270,1,236,4063,677,0.18,No
1462,46,Female,Yes,0.06,0,3210,6720,7,433,1782,594,0.64,Yes
1463,61,Male,Yes,0,2,3420,2520,4,437,3794,758,0.85,No
1464,24,Female,Yes,0.06,0,1560,2970,2,134,3103,1034,0.31,No
1465,40,Female,Yes,0,2,1770,6270,7,137,4471,638,0.52,No
1466,70,Male,Yes,0.06,3,3510,6690,5,334,6197,774,0.97,No
1467,18,Female,Yes,0,2,3750,2490,2,337,2491,830,0.18,Yes
1468,48,Female,Yes,0.07,3,1890,2940,0,34,4881,697,0.64,No
1469,64,Male,Yes,0.01,2,2100,6240,5,38,3638,606,0.85,No
1470,27,Female,Yes,0.07,3,3840,6690,3,234,3575,510,0.31,No
1471,42,Female,Yes,0.01,1,480,2490,1,238,2030,1015,0.52,No
1472,73,Male,Yes,0.07,2,2190,2940,6,435,709,354,0.97,No
1473,21,Female,Yes,0.01,1,2430,6240,4,438,2560,853,0.19,No
1474,51,Male,Yes,0.07,2,570,6690,1,135,2542,847,0.64,No
1475,67,Male,Yes,0.01,1,780,2490,7,138,6214,887,0.85,No
1476,29,Female,Yes,0,2,2520,2940,4,335,2447,815,0.31,No
1477,45,Female,Yes,0.02,0,2760,6240,2,339,3163,527,0.52,No
1478,76,Male,Yes,0,2,900,6690,7,36,1241,310,0.98,No
1479,23,Female,Yes,0.02,0,1110,2490,5,39,4237,706,0.19,No
1480,54,Male,Yes,0,1,2850,2940,2,236,3985,996,0.64,No
1481,70,Male,Yes,0.02,0,3060,6240,0,239,5289,881,0.85,No
1482,32,Female,Yes,0,1,1200,6690,6,436,2489,622,0.31,No
1483,48,Female,Yes,0.02,0,1440,2490,3,440,5392,770,0.52,No
1484,78,Male,Yes,0.01,1,3180,2940,1,137,4250,1062,0.98,No
1485,26,Female,Yes,0.03,3,3390,6240,6,140,4893,978,0.19,No
1486,57,Male,Yes,0.01,1,1530,6690,4,337,2145,715,0.64,No
1487,73,Male,Yes,0.03,3,1770,2490,1,340,3298,824,0.86,No
1488,35,Female,Yes,0.01,0,3510,2940,7,37,5443,1088,0.31,No
1489,51,Female,Yes,0.03,3,3720,6240,4,41,4013,802,0.52,Yes
1490,13,Male,Yes,0.01,0,1860,6690,2,238,3637,909,0.98,No
1491,29,Female,Yes,0.03,2,2070,2490,7,241,5286,881,0.19,No
1492,59,Male,Yes,0.02,0,3810,2940,5,438,5043,840,0.65,No
1493,75,Male,Yes,0.04,2,450,6240,2,441,8318,1039,0.86,No
1494,38,Female,Yes,0.02,3,2190,6690,0,138,2483,620,0.31,Yes
1495,54,Female,Yes,0.04,2,2400,2490,5,142,8219,821,0.52,No
1496,16,Male,Yes,0.02,3,540,2940,3,338,4505,901,0.98,No
1497,32,Female,Yes,0.04,2,780,6240,0,342,2826,471,0.19,No
1498,62,Male,Yes,0.02,3,2490,6690,6,39,6517,814,0.65,No
1499,78,Male,Yes,0.05,1,2730,2490,4,42,5621,1124,0.86,No
1500,41,Female,Yes,0.03,3,870,2940,1,239,4034,672,0.31,No
1501,56,Male,No,0.05,1,1080,6240,7,242,4391,878,0.53,No
1502,19,Female,Yes,0.03,2,2820,6690,4,439,932,932,0.98,No
1503,35,Female,Yes,0.05,1,3060,2490,2,443,10378,1037,0.19,Yes
1504,65,Male,Yes,0.03,2,1200,2940,7,140,963,963,0.65,No
1505,13,Male,Yes,0.05,1,1410,6240,5,143,7500,833,0.86,No
1506,43,Female,Yes,0.03,2,3150,6690,2,340,2581,860,0.32,No
1507,59,Male,Yes,0.06,0,3360,2490,0,343,7656,957,0.53,No
1508,22,Female,Yes,0.04,2,1500,2940,5,40,3425,856,0.98,No
1509,37,Female,Yes,0.06,0,1740,6240,3,44,6291,1048,0.19,No
1510,68,Male,Yes,0.04,1,3480,6690,1,241,3702,617,0.65,No
1511,16,Male,Yes,0.06,0,3690,2490,6,244,2886,721,0.86,No
1512,46,Female,Yes,0.04,1,1830,2940,4,441,2175,725,0.32,No
1513,62,Male,Yes,0.06,3,2070,6240,1,444,3707,741,0.53,No
1514,24,Female,Yes,0.05,1,3810,6690,7,141,496,248,0.98,No
1515,40,Female,Yes,0.07,3,420,2490,4,145,3481,696,0.19,No
1516,71,Male,Yes,0.05,0,2160,2940,2,342,5700,950,0.65,No
1517,19,Male,Yes,0.07,3,2370,6240,7,345,2458,491,0.86,No
1518,49,Female,Yes,0.05,0,510,6690,5,42,4065,677,0.32,Yes
1519,65,Male,Yes,0.07,3,750,2490,2,45,6230,890,0.53,No
1520,27,Female,Yes,0.05,0,2490,2940,0,242,3206,1068,0.99,No
1521,43,Female,Yes,0.07,2,2700,6240,5,245,1645,235,0.2,No
1522,73,Male,Yes,0.06,0,840,6690,3,442,374,124,0.65,No
1523,21,Male,Yes,0,2,1080,2490,0,446,5816,1163,0.86,No
1524,52,Female,Yes,0.06,3,2790,2940,6,143,4504,900,0.32,No
1525,68,Male,Yes,0,2,3030,6240,3,146,7293,663,0.53,No
1526,30,Female,Yes,0.06,3,1170,6690,1,343,5990,998,0.99,No
1527,46,Female,Yes,0,2,1380,2490,7,346,5226,746,0.2,No
1528,76,Male,Yes,0.06,3,3120,2940,4,43,2748,392,0.65,No
1529,24,Female,Yes,0,1,3360,6240,2,47,3250,650,0.86,Yes
1530,55,Female,Yes,0.07,3,1500,6690,7,244,2462,1231,0.32,No
1531,70,Male,Yes,0.01,1,1710,2490,5,247,2831,471,0.53,No
1532,33,Female,Yes,0.07,2,3450,2940,2,444,6647,830,0.99,No
1533,49,Female,Yes,0.01,1,3660,6240,0,447,2178,544,0.2,No
1534,79,Male,Yes,0.07,2,1800,6690,5,144,3420,684,0.65,No
1535,27,Female,Yes,0.01,0,2040,2490,3,148,2673,891,0.87,No
1536,57,Male,Yes,0.07,2,3780,2940,0,345,7770,863,0.32,No
1537,73,Male,Yes,0.01,0,390,6240,6,348,4626,925,0.53,No
1538,36,Female,Yes,0,1,2130,6690,3,45,2789,464,0.99,No
1539,51,Female,Yes,0.02,0,2370,2490,1,48,2897,724,0.2,No
1540,14,Male,Yes,0,1,510,2940,7,245,7065,706,0.66,No
1541,30,Female,Yes,0.02,0,720,6240,4,249,4266,1066,0.87,No
1542,60,Male,Yes,0,1,2460,6690,2,445,2904,726,0.32,Yes
1543,76,Male,Yes,0.02,3,2670,2490,7,449,2954,492,0.53,No
1544,38,Female,Yes,0,1,810,2940,5,146,5458,682,0.99,No
1545,54,Female,Yes,0.02,3,1050,6240,2,149,5726,818,0.2,No
1546,17,Male,Yes,0.01,0,2790,6690,0,346,4779,682,0.66,No
1547,33,Female,No,0.03,3,3000,2490,5,349,3953,564,0.87,No
1548,63,Male,Yes,0.01,0,1140,2940,3,46,3674,734,0.32,No
1549,79,Male,Yes,0.03,3,1380,6240,0,50,3976,662,0.54,No
1550,41,Female,Yes,0.01,0,3120,6690,6,247,2595,648,0.99,No
1551,57,Female,Yes,0.03,2,3330,2490,3,250,7900,718,0.2,No
1552,19,Male,Yes,0.01,0,1470,2940,1,447,3089,1029,0.66,No
1553,35,Female,Yes,0.03,2,1680,6240,6,450,2851,712,0.87,No
1554,66,Male,Yes,0.02,3,3420,6690,4,147,1754,584,0.33,No
1555,14,Male,Yes,0.04,2,3660,2490,1,151,2203,550,0.54,No
1556,44,Female,Yes,0.02,3,1800,2940,7,348,3434,572,0.99,No
1557,60,Female,Yes,0.04,1,2010,6240,5,351,1466,733,0.2,No
1558,22,Male,Yes,0.02,3,3750,6690,2,48,3515,703,0.66,No
1559,38,Female,Yes,0.04,1,390,2490,0,51,4149,829,0.87,No
1560,68,Male,Yes,0.02,2,2100,2940,5,248,2047,682,0.33,No
1561,16,Male,Yes,0.04,1,2340,6210,3,252,1471,490,0.54,No
1562,47,Female,Yes,0.03,2,480,6660,0,449,2507,501,0.99,No
1563,63,Male,Yes,0.05,1,690,2460,6,452,4704,784,0.2,No
1564,25,Female,Yes,0.03,2,2430,2910,3,149,1933,483,0.66,No
1565,41,Female,Yes,0.05,0,2670,6210,1,152,5359,893,0.87,No
1566,71,Male,Yes,0.03,2,810,6660,6,349,4358,871,0.33,No
1567,19,Male,Yes,0.05,0,1020,2460,4,352,5253,583,0.54,Yes
1568,50,Female,Yes,0.03,1,2760,2910,2,49,6211,1035,0,No
1569,65,Male,Yes,0.05,0,2970,6210,7,53,399,399,0.21,No
1570,28,Female,Yes,0.04,1,1110,6660,5,250,1470,294,0.66,Yes
1571,44,Female,Yes,0.06,0,1350,2460,2,253,4475,895,0.87,No
1572,74,Male,Yes,0.04,1,3090,2910,0,450,2962,423,0.33,No
1573,22,Male,Yes,0.06,3,3300,6210,5,453,3453,575,0.54,No
1574,52,Female,Yes,0.04,0,1440,6660,3,150,4479,746,0,No
1575,68,Male,Yes,0.06,3,1680,2460,0,154,3268,1089,0.21,No
1576,31,Female,Yes,0.04,0,3420,2910,6,351,4160,832,0.66,Yes
1577,46,Female,Yes,0.06,3,3630,6210,3,354,2549,637,0.87,No
1578,77,Male,Yes,0.05,0,1770,6660,1,51,3152,1050,0.33,No
1579,25,Male,Yes,0.07,2,1980,2460,6,54,880,440,0.54,Yes
1580,55,Female,Yes,0.05,0,3720,2910,4,251,3272,409,0,No
1581,71,Male,Yes,0.07,2,360,6210,1,255,5498,687,0.21,No
1582,33,Female,Yes,0.05,3,2100,6660,7,452,2512,837,0.66,No
1583,49,Female,Yes,0.07,2,2310,2460,4,455,3455,493,0.88,No
1584,12,Male,Yes,0.05,3,450,2910,2,152,4025,805,0.33,No
1585,28,Male,Yes,0.07,2,690,6210,0,155,1675,335,0.54,No
1586,58,Female,Yes,0.06,3,2400,6660,5,352,2559,639,0,No
1587,74,Male,Yes,0,1,2640,2460,3,356,5523,920,0.21,No
1588,36,Female,Yes,0.06,3,780,2910,0,52,7289,911,0.67,Yes
1589,52,Female,Yes,0,1,990,6210,6,56,3852,963,0.88,No
1590,14,Male,Yes,0.06,2,2730,6660,3,253,3030,757,0.33,Yes
1591,30,Female,Yes,0,1,2970,2460,1,256,2288,572,0.54,No
1592,61,Female,Yes,0.06,2,1110,2910,6,453,2047,511,0,No
1593,77,Male,No,0.01,1,1320,6210,4,456,5680,946,0.21,No
1594,39,Female,Yes,0.07,2,3060,6660,1,153,4265,710,0.67,No
1595,55,Female,Yes,0.01,0,3270,2460,7,157,7846,871,0.88,No
1596,17,Male,Yes,0.07,1,1410,2910,5,354,5395,899,0.33,Yes
1597,33,Female,Yes,0.01,0,1650,6210,2,357,7354,919,0.55,No
1598,64,Male,Yes,0.07,1,3390,6660,0,54,3457,691,0,No
1599,79,Male,Yes,0.01,0,3600,2460,5,57,4865,1216,0.21,No
1600,42,Female,Yes,0.07,1,1740,2910,3,254,3541,885,0.67,No
1601,58,Female,Yes,0.02,3,1980,6210,0,258,2457,819,0.88,Yes
1602,20,Male,Yes,0,1,3720,6660,6,455,4122,1030,0.34,No
1603,36,Female,Yes,0.02,3,330,2460,3,458,1993,398,0.55,No
1604,66,Male,Yes,0,0,2070,2910,1,155,2941,735,0,No
1605,14,Male,Yes,0.02,3,2280,6210,6,158,3495,699,0.21,No
1606,45,Female,Yes,0,0,420,6660,4,355,5481,1096,0.67,No
1607,60,Female,Yes,0.02,3,660,2460,1,359,4755,792,0.88,Yes
1608,23,Male,Yes,0.01,0,2400,2910,7,56,5411,901,0.34,No
1609,39,Female,Yes,0.03,2,2610,6210,4,59,1244,1244,0.55,No
1610,69,Male,Yes,0.01,0,750,6660,2,256,3530,706,0,No
1611,17,Male,Yes,0.03,2,990,2460,7,259,9626,875,0.21,No
1612,47,Female,Yes,0.01,3,2700,2910,5,456,5348,594,0.67,No
1613,63,Female,Yes,0.03,2,2940,6210,3,460,2788,697,0.88,No
1614,26,Male,Yes,0.01,3,1080,6660,0,156,5333,592,0.34,No
1615,42,Female,Yes,0.03,1,1290,2460,6,160,2700,900,0.55,No
1616,72,Male,Yes,0.02,3,3030,2910,3,357,3274,654,0.01,No
1617,20,Male,Yes,0.04,1,3270,6210,1,360,5249,749,0.22,Yes
1618,50,Female,Yes,0.02,2,1410,6660,6,57,2778,694,0.67,No
1619,66,Female,Yes,0.04,1,1620,2460,4,60,5245,749,0.88,No
1620,28,Male,Yes,0.02,2,3360,2910,1,257,3458,691,0.34,No
1621,44,Female,Yes,0.04,1,3570,6210,7,261,3929,785,0.55,No
1622,75,Male,Yes,0.02,2,1710,6660,4,458,7860,1122,0.01,Yes
1623,23,Male,Yes,0.04,0,1950,2460,2,461,5190,1038,0.22,No
1624,53,Female,Yes,0.03,2,3690,2910,0,158,4101,1025,0.67,No
